customer_tweet_id,customer_text,response_text,intent_label,label_notes
2000389,I'm over Apple and the keyboard fucking up o v e r it @115858 get your shit together bro,@591485 We'd like to gather some more information for better troubleshooting. Can you DM us the country you are located in? https://t.co/GDrqU22YpT,keyboard_input,
1181504,"@397857 @115858 How can an update change battery drain so much? All I know is it does, 3 charges today!",@339803 Thanks for reaching out. DM which iPhone and specific iOS version you are using currently so we can help. https://t.co/GDrqU22YpT,battery_power,
2010075,@AppleSupport I cannot change my Apple ID as the verification code is being sent to a closed email address. Help!,@594380 We're happy to help. You can check out this article for steps to try to get your verification code. https://t.co/gZlEJEsNrU,apple_id_account,
2757530,@AppleSupport seeing a new oddity with iOS 11. Recently reset whole phone and restored a backup. This resulted in a massive improvement from the auto-update (Good). However now sometimes apps won’t load at all and hang on the splash screen. Happens for all apps when it hits.,"@210257 Thanks for reaching out to us about this. We want to help keep your apps running as smoothly as possible. Which exact iOS version are you running? Let us know in DM, and we’ll work with you there. https://t.co/GDrqU22YpT",apps_services,
1620586,So I️ think everyone accepted the stupid fucking question mark boxes @115858 except me this shit is annoying,@496674 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help.,keyboard_input,
1337287,So @115858 do I have to buy a new line from Apple store to buy iPhone x???  Just want my phone!  Can’t place an order!  Trying to pay $$$ https://t.co/S4nWhtXH5D,"@429342 Our Online Sales Support would be best suited to assist you, you can reach them here:   https://t.co/K0222CJgiB",purchases_orders_refunds,
1874494,I’m tired of @115858 having such easily crackable phones. This is the fourth time and it doesn’t matter if I have a case or not,@559595 That certainly is no fun at all. We'd like to look into some options to help you get this sorted. Send us a DM to start. https://t.co/GDrqU22YpT,hardware_accessories,
2123864,"@AppleSupport HD camera in my new MacBookPro (2016) is not HD at all. No matter the light, there is always grain on the picture. Is it the hardware problem or is it normal that MBP camera sucks?",@625610 We'd be happy to assist with your Mac today. Send us a DM to get started. https://t.co/GDrqU22YpT,hardware_accessories,
2616499,@739051 @AppleSupport I just bought my iphone 6 second hand. I thought it was a dodgy battery because it drained quick. It looks like I'm not the only one. Hmmmm!,"@739969 If you're experiencing issues with your battery life, we want to help. Which iOS version is installed? Also, check out these steps to maximize your battery life: https://t.co/bivpdfBNJ6 If you make changes, charge to 100% and test it out. Let us know how it goes.",apple_id_account,
2633110,"@AppleSupport I am experiencing massive #Bluetooth issues with my #iPhoneX. Dropouts with Bluetooth headphones, even #AirPods, spotty connection to Apple Watch Series 3. Highly aggravating. 😔 Any hints what I could do?",@743468 We're here for you. Which version of the iOS are you running? You can check by tapping on Settings &gt; General &gt; About.,connectivity,
1151854,@AppleSupport which drops the battery time even if the iphone is in standby. please check and fix,@391064 We want to help. Which version of iOS are you using? Let us know more about this situation in DM. https://t.co/GDrqU22YpT,battery_power,
2814797,@115858 your products are junk. My headphones broke within 3 months of purchase with my iPhone 7. I've barely even used it and I'm in a temperate climate. What excuse do you have for such a short lived trash product for that price?!,"@784751 That's definitely not the type of experience we want you to have. We'd like to know more to see if we can help. DM us with what type of headphones you have, along with what country you're currently located in. We'll meet you there. https://t.co/GDrqU22YpT",hardware_accessories,
2578723,"Every time I try to type “it”, my phone autocorrects to “I.T” WTF @115858 @AppleSupport. These updates have been pure trash!","@448740 We’d like to look into this with you. To start, please send us a DM confirming which iPhone and software version you’re using. https://t.co/GDrqU2kzhr",keyboard_input,
2283391,@AppleSupport 3D touch in screen #ios11 isn’t work why?,@610269 We'd love to help. What device are you using? Let us know to continue.,hardware_accessories,
1974749,Why does my I️ key keep coming out like the question mark symbol? @AppleSupport,@584795 Let's look into this together. Which device and software version are you using? Please DM us to proceed. https://t.co/GDrqU22YpT,keyboard_input,
2453292,@AppleSupport I have a IPHONE 7 plus since new download of IOS11 all my voice mail no longer transcribe. I want it back!! What do I do?????,@702856 We're glad you ask. You'll find the steps you need here: https://t.co/FaFf2KILzY,apps_services,
1020880,"@AppleSupport I pre-purchased a book in iBooks that should be available now, but iBooks only shows it as bought - can‘t download. Now what?",@361579 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this with you there. https://t.co/GDrqU22YpT,purchases_orders_refunds,
2014699,@AppleSupport I downloaded the new iOS and my battery life has become non existent. Pls send help,"@595733 We'd love to help out with this, Daniella. Can you send us a DM with the device you're using and your location? https://t.co/GDrqU22YpT",battery_power,
2116232,@AppleSupport my itunes gift card money mysteriously disappeared  from my itunes account?,"@160299 We know how important this is. For more help, please reach out to our iTunes team here:  https://t.co/SDIe7UiyJN",purchases_orders_refunds,
1266534,@AppleSupport UPDATE OUR PHONES MINE KEEPS FREEZING WHAT IF IM DYING,@395419 We're here to help! Send us a DM telling us which iPhone you have and the iOS version it's running. https://t.co/GDrqU22YpT,device_performance,
898638,"@AppleSupport I’ve tried both, cellular data and WiFi and it’s the latest update",@333383 Thank you. Can you tell us anything you've tried so far to fix this? Any restarts or resets?,connectivity,
679934,"@AppleSupport So when the Apple Watch isn't able to control the music app on the phone, is it the watch, or the phone that is failing?",@282227 We'd like to help out. DM us more info and we'll go from there. https://t.co/GDrqU22YpT,apps_services,
995133,@AppleSupport why does my music player always appear on my lock screen? I’m not playing music nor is it connected to a Bluetooth device.,@355725 We'd like to take a look at this with you. Let's continue in DM. https://t.co/GDrqU22YpT,apps_services,
2448326,"@AppleSupport I just bought an Apple Watch Series 1 and it says I have to update it to the latest software. After many phone and Watch restarts, it keeps getting stuck on either the “Checking for Update...” or the actual update itself. What can I do?","@406104 Congratulations on your new Apple Watch! To update your Apple Watch you’ll want to first be sure that you have a backup of your iPhone and are running the latest iOS version, iOS 11.1.1. This article will walk you through the steps to take: https://t.co/s6t9pl6tpv",ios_update_issues,
1800145,"@115858 come February, I’ll be team note 8. I’ve never seen so many glitches. My phone isn’t even a year old! My battery life is horrible too",@540861 We're here to help. We can help look into why this is occurring. Send us a DM with your device &amp; iOS version to get started. https://t.co/GDrqU22YpT,battery_power,
270317,Why @115858 won’t let me update my payment. It keeps saying card declined when I have money in my account! #iOS11,@180449 We're happy to help. Let's start here: https://t.co/U96y4MTG7k,purchases_orders_refunds,
2856754,"@AppleSupport Thanks, yes I did install the update last night. My texts are glitchy - won't open outside links, can't text photos without going into text message first, etc. Also, phone randomly shuts down around 45F or less.","@794005 Thanks for those details. We'll be sure to do all we can to assist with them all. As far as the random shutdown, are you referring to temperature or battery percentage? Also, did these issues start immediately after the latest update or have they been occurring before? https://t.co/GDrqU22YpT",ios_update_issues,
2818594,@115858 needs to get it together. My phone has been freezing since the update.,@785671 Helping you out with this is a top priority for us. Are you noticing that freezing while doing certain things or does it appear to be random? Which specific iOS version are you running? Meet up with us in DM and we'll take a closer look. https://t.co/GDrqU22YpT,device_performance,
1013791,@AppleSupport app starts to cycle like its looking for something. Freezes then shuts down. started doing this with the last iOS upgrade. I don’t have time,@359879 Is it the Apple Watch app that is cycling or the Nike+ Run Club app? Did it work prior to the update?,ios_update_issues,
2925619,"@AppleSupport Updated my new 2 days old ipad pro to 11.1.2. 
FaceTime quality has dropped remarkably. Person on the other side says image looks blurred, as if a glass is placed on camera. When I FaceTime using iphone X using the same wifi, there is no issue. Is this a ios bug?",@809484 We want to help address this concern with FaceTime video quality. Send us a DM using the link below and we'll research this further. https://t.co/GDrqU22YpT,ios_update_issues,
1441471,@116333 APPLE CANCELLED MY IPHONE X PREORDER .HELP ME,@454438 For help with your iPhone X order reach out to our Sales team here:  https://t.co/8yjRd1Xo0i,purchases_orders_refunds,
2282253,Hey @AppleSupport is it a known issue that when the 2016 Macbook Pro Touchbar users that when the Macbook heats up the keyboard starts sticking?,"@628918 We'd love to help! We haven't heard that one before, but we'd love to know more. DM us more details, including which version of the operating system your MacBook Pro is running, and we'll get started. https://t.co/GDrqU22YpT",hardware_accessories,
1888619,"@AppleSupport even on ios 11.1 beta 4 my music (applemusic, spotify etc.) stops when im using 3d touch or another app. Thanks for fixin soon",@563224 Thanks for reaching out. Which device are you using? Let us know via a DM. We’ll keep moving forward from there. https://t.co/GDrqU22YpT,apps_services,
1109546,@115858 issue with the iOS update. Laggy and unresponsive on screen at times. Will stall and freeze. Please fix.,"@381844 You’re in the right spot, and we’d love to team up with you on this. To begin, are you using iOS 11.0.3?",device_performance,
366986,@115858 I was charged for a subscription that I canceled the same day I accepted the free trails why was I charged?,"@202924 If you are seeing an unexpected charge, you can get help with that here:  https://t.co/SDIe7UiyJN",purchases_orders_refunds,
1833596,"@115858 @118936 @AppleSupport my phone is constantly freezing whenever I open any apps and I can’t search the App Store, it times out!","@550037 We'll be happy to look into this with you. Send us a DM with the iOS version your iPhone is running, and we'll go from there. https://t.co/GDrqU22YpT",device_performance,
124421,Thanks apple for your latest updates I can’t open my music app @AppleSupport @115948,"@143868 Hi there. Let's get your music flowing through again. Try the steps in this article to see if they help: https://t.co/3WF5Z1DBGa

Still having issues? Shoot us a DM here: https://t.co/GDrqU22YpT",apps_services,
1211806,"No apps in new iTunes, and iOS App Store did away with wishlists. @115858, are you telling me you don’t want me to buy apps anymore? WTH?",@404424 We certainly want to hear your feedback. We welcome you to officially submit that here: https://t.co/eTPVYVFyd8,apps_services,
333252,Anyone else having trouble after latest @115858 update? Blue tooth loves to turn itself on and WiFi connection is constantly dropping.,"@195375 Thanks for reaching out. Which iOS device are you having this issue on? Let us know, we'd like to help.",connectivity,
