customer_tweet_id,response_tweet_id,created_at_customer,created_at_response,customer_text,response_text
2341927,2341926,2017-11-13 10:03:38+00:00,2017-11-13 14:54:00+00:00,i updated my phone &amp; im still seeing those box question marks @AppleSupport i thought you were supposed to fix this 🤔🙄,@677415 Let's see what we can do. Meet us in DM and we'll pick up from there. https://t.co/GDrqU22YpT
2780703,2780705,2017-11-21 16:31:00+00:00,2017-11-21 16:43:40+00:00,@AppleSupport The Music app.,"@776624 Thank you. Not all info is available in the Music app. You can see some production information under the album view, at the bottom. Also, if you view the lyrics you can find information about the writer listed at the bottom."
2057166,2057165,2017-10-06 20:08:35+00:00,2017-10-06 22:40:00+00:00,@AppleSupport Battery drained quickly in my 6s.please help.,@370233 Thank you for taking the time to contact us about this. We'll be glad to assist. Have you updated to iOS 11.0.2? Please DM us. https://t.co/GDrqU22YpT
2015803,2015802,2017-11-05 16:46:25+00:00,2017-11-05 19:50:28+00:00,Ok @115858 @AppleSupport this: I️ thing has gotta stop. Please fix this.,@596091 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT
344398,344396,2017-10-07 23:44:12+00:00,2017-10-08 01:32:51+00:00,@AppleSupport It’s an iPhone 7 Plus &amp; I’m on 11.0.1,"@197909 OK. We’ve released iOS version 11.0.2. Let’s make sure you have a backup, then update your iPhone: https://t.co/80YRnjDFDk"
2015423,2015422,2017-11-05 15:39:11+00:00,2017-11-05 19:16:01+00:00,@115858 @AppleSupport please fix this “I️” problem. Thanks.,@595972 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT
2050438,2050437,2017-10-05 17:59:36+00:00,2017-10-05 18:43:01+00:00,Error 11.0.2. @115858 @AppleSupport 🙄 https://t.co/MoCPK35a2y,"@606368 
We'd like to gather some more information for better troubleshooting. Can you DM us the country you are located in? https://t.co/nYknMGviju"
1905759,1905760,2017-10-28 23:12:53+00:00,2017-10-28 23:23:01+00:00,@AppleSupport It is happening again.  It is still set to always.,@567880 Thanks for reaching back out. We'd like some additional details to assist. DM us with the link below and we'll continue. https://t.co/GDrqU22YpT
717230,717229,2017-10-10 23:37:44+00:00,2017-10-11 00:29:30+00:00,@AppleSupport iPhone 7 plus. Version 11.0,"@291712 Okay, so that we can take a deeper look, feel free to DM us and we'll go from there: https://t.co/GDrqU22YpT"
84238,84236,2017-11-30 05:51:07+00:00,2017-11-30 14:01:38+00:00,Hey @AppleSupport @115858  why did I play soccer and come back to every contact in my phone deleted? 2nd time that’s happened. #whatgives,@134530 We’d be glad to help take a closer look at your contacts. We’d like to start by gathering some more information so we can determine where to get started. Are these contacts saved in iCloud or another account on your iPhone? Let us know in DM and we’ll start there. https://t.co/GDrqU22YpT
1507324,1507323,2017-11-03 04:28:47+00:00,2017-11-03 13:41:31+00:00,Updated my phone and I still see these goddamn black boxes w/ question marks smh what's going on @115858,@469835 We want to check this out. Send us a DM and we will go from there. https://t.co/GDrqU22YpT
612884,2207700,2017-11-09 23:43:36+00:00,2017-11-10 01:11:36+00:00,@AppleSupport Please sort out the battery issue. Getting beyond a joke now !!,"@645453 Thanks so much for reaching out! We know how important your battery life is, so we'd be happy to look into what's going on. To start, can you let us know which device and software version you're experiencing issues on?"
2616558,2616556,2017-11-17 06:58:43+00:00,2017-11-17 14:37:00+00:00,"@AppleSupport the worst ios. Phone hang and a lot of issue. Fix it, make it done. Otherwise change to other brand",@739552 Hi there. Please tell us what version of iOS you see under Settings &gt; General &gt; About &gt; Version. We'd love to help out.
2354979,2354981,2017-11-13 19:44:41+00:00,2017-11-13 20:27:01+00:00,"@AppleSupport iPhone 6s, was just updating with my macbook, once it finished my iPhone went black and will not respond to being plugged in to any power sources, power button doesn't work, also holding power and home buttons for 10 seconds didn't work",@680378 Don't worry. We'll do everything we can to get it back up and running.  Does iTunes recognize it still while it's connected?
1333697,1333695,2017-10-18 09:56:01+00:00,2017-10-18 13:39:09+00:00,@AppleSupport need help with a charging problem,@266096 We can certainly take a look. Which device are you needing help with and what happens when charging it?
2555447,2555450,2017-11-16 15:52:50+00:00,2017-11-16 16:57:00+00:00,"@AppleSupport No, it works just fine.","@725647 Have you ever been able to play videos through Apple Music using cellular on this iPhone before? If yes, is anything different from when it was working until now, such as an upgrade to iOS or a new app?"
1808867,1808866,2017-10-14 15:18:24+00:00,2017-10-14 16:11:30+00:00,"@116333 @AppleSupport this new iOS software is absolutely crap, my phone is dreadful. Slow, jammed, stops working. Awful","@543428 That's not the experience we want you to have. DM us using the link below, we'll look into this further with you from there. https://t.co/GDrqU22YpT"
1269015,1269013,2017-10-26 10:50:20+00:00,2017-10-26 13:58:00+00:00,"@AppleSupport Hi, do iPhone 6S updates prevent set alarms from going off?","@417141 Are you having issues with the update and alarms? If so let us know, we'll help out."
2375284,2378179,2017-11-14 03:32:59+00:00,2017-11-14 03:49:00+00:00,@685163 @AppleSupport Welcome to my hell,"@685857 If you're experiencing issues, we're happy to assist. Just send us a DM if you'd like to get started: https://t.co/GDrqU22YpT"
168871,168870,2017-11-24 20:58:36+00:00,2017-11-24 21:06:30+00:00,"@AppleSupport hello, just wondering how to close apps on the IPhone X. On the 7 I just double tap the home button and swipe up.. what’s the method to do that on the X? Thx!","@155296 Sure thing! Swipe up and pause to view open apps. Touch and hold the app in question, then swipe up to close it. Check https://t.co/RqqIctrDWV for related links to this process if necessary."
1697339,1697338,2017-11-06 22:47:34+00:00,2017-11-06 23:43:32+00:00,@AppleSupport why the heck my phone say searching in the top left corner ??? phone machine broke ??,@514851 We'd love to help you with your signal! This article has steps to take for that: https://t.co/5KootZbxj1
1795638,1795637,2017-10-18 00:34:39+00:00,2017-10-18 00:43:28+00:00,Iphone 8 touch screen suxxxx. I have to click on something like 5x for it to even work. My 6s+ has better touch screen sensor @AppleSupport,@539562 This isn't the experience we want you to have with your new iPhone. We'd love to help. Which iOS version do you have?
1178103,1178104,2017-10-26 03:24:51+00:00,2017-10-26 12:19:31+00:00,@AppleSupport It seems to just happen with screenshots,"@397073 Got it, thanks. So that we can look into this further, can you tell us the iOS version your iPhone is on currently?"
866278,866275,2017-10-20 16:22:47+00:00,2017-10-20 17:47:00+00:00,"@AppleSupport 5,000 of my photos have disappeared off of my iPhone. Can you help?","@325692 We know how important your photos are. When did this happen? Is anything different, such as an upgrade to iOS or a new app?"
