customer_tweet_id,correctness,relevance,groundedness,completeness,tone,hallucination,escalation_appropriate,judge_status,judge_error,judge_model,eval_id,customer_text,reply,should_escalate
1745981,4,5,4,3,5,0,0,success,,,,,,
2116232,5,5,5,5,5,0,1,success,,,,,,
2948214,1,3,4,2,5,0,0,success,,,,,,
1567544,3,4,4,3,5,0,0,success,,,,,,
1202887,4,5,5,4,5,0,0,success,,,,,,
1168589,5,5,5,5,5,0,0,success,,,,,,
2577100,5,5,5,5,5,0,0,success,,,,,,
1151854,5,5,5,5,5,0,1,success,,gemini-3.6-flash,,,,
2296203,3,4,2,3,5,1,0,success,,gemini-3.6-flash,,,,
1745981,5,5,4,4,5,0,1,success,,gemini-3.6-flash,1.0,".@AppleSupport why does my screen say this but, I’ve been charged. Yes all is up to date. Yes log in correct. One heck of a month w/@115858 https://t.co/TyEQDLvtcX","Could you share what the screen message says, along with your device model and iOS version? That’ll help us pinpoint the issue and guide you further.",True
1745981,5,5,4,4,5,0,1,success,,gemini-3.6-flash,1,".@AppleSupport why does my screen say this but, I’ve been charged. Yes all is up to date. Yes log in correct. One heck of a month w/@115858 https://t.co/TyEQDLvtcX","Could you share what the screen message says, along with your device model and iOS version? That’ll help us pinpoint the issue and guide you further.",True
2116232,5,5,4,4,5,0,1,success,,gemini-3.6-flash,2,@AppleSupport my itunes gift card money mysteriously disappeared  from my itunes account?,"Hi! First, please check your iTunes balance to confirm the amount is missing. If the balance still shows as zero, we recommend contacting the iTunes Store team for further assistance. If you need help locating the balance or have any other details you can share, let us know!",True
2948214,5,5,5,5,5,0,1,success,,gemini-3.6-flash,3,@AppleSupport I’ve hard to hard restart my computer 6x in last two days since I updated to High Sierra. Adobe was first issue. Now finder is crashing and won’t relaunch. How about an update to fix all of the bugs in High Sierra please? I refuse to update my personal computer because of this.,"I’m sorry to hear about the crashes. Could you share your Mac model and the exact steps you took before the crashes started? Also, what happens when Finder crashes—does it just quit or does the whole system freeze? Knowing this will help us pinpoint the issue and find a fix.",True
1567544,5,5,5,5,5,0,1,success,,gemini-3.6-flash,4,@AppleSupport No I’m just so let down by @AppleSupport  And your ‘senior advisors’ all my iCloud has been deleted after 6 years and no one is helping,"I’m sorry you’re experiencing this loss. To help us investigate, could you let us know your iPhone model, the iOS version you’re running, and when you noticed the data missing? Also, please check the iCloud website to see if the contacts or photos are still there. If you have any recent backups—either via iCloud or iTunes—please share those details. Once we have this information, we can look into recovery options for you.",True
1202887,5,5,5,4,5,0,1,success,,gemini-3.6-flash,5,@AppleSupport As soon as I updated IOS my phone is slow and the camera doesn’t work.,Thanks for reaching out. Could you let us know which iPhone model you have and the iOS version you updated to? We’ll look into the slowdown and camera issue.,True
1168589,4,5,5,4,5,0,1,success,,gemini-3.6-flash,6,"iOS 11.0.3 has killed WiFi, even more unstable and more restarts than the last update 🙄 sort it out @AppleSupport last few have been a joke","Hi, sorry to hear about the WiFi instability after updating to iOS 11.0.3. To help us investigate, could you let us know which device you’re using, the exact iOS version, and any steps you’ve already tried to fix the WiFi? Once we have that info, we can look into a solution.",False
