customer_tweet_id,customer_text,gold_intent,predicted_intent,intent_confidence,intent_margin,retrieval_top1_similarity,reply,should_escalate,escalation_reason,llm_escalation_suggestion,evidence_used,generation_status,generation_error
2000389,I'm over Apple and the keyboard fucking up o v e r it @115858 get your shit together bro,keyboard_input,keyboard_input,0.3033,0.0585,0.7592,"Hi @115858, sorry to hear about the keyboard issue. Could you let us know what’s happening—are keys stuck, not responding, or typing incorrectly? Also, please share your device model and iOS version so we can help you better.",True,Low intent confidence (0.303).,False,,,
1181504,"@397857 @115858 How can an update change battery drain so much? All I know is it does, 3 charges today!",battery_power,battery_power,0.3968,0.0548,0.7679,"Hi @397857, I’m sorry to hear the recent update is draining your battery faster. To help, could you let me know which iOS version you’re running and the model of your device? Once I have that, I can look into possible causes and suggest steps to improve battery life.",True,Low intent confidence (0.397).,False,,,
2010075,@AppleSupport I cannot change my Apple ID as the verification code is being sent to a closed email address. Help!,apple_id_account,apple_id_account,0.2969,0.0947,0.7305,"It sounds like the verification code is being sent to an email address that’s no longer active. Could you let us know the email address currently linked to your Apple ID and any alternate email or phone number you have for recovery? Once we have that, we can guide you through updating your Apple ID or adding a new recovery method.",True,Low intent confidence (0.297).,False,,,
2757530,@AppleSupport seeing a new oddity with iOS 11. Recently reset whole phone and restored a backup. This resulted in a massive improvement from the auto-update (Good). However now sometimes apps won’t load at all and hang on the splash screen. Happens for all apps when it hits.,apps_services,apps_services,0.4435,0.027,0.7261,"Thanks for reaching out. Could you let us know which iPhone model you have and the exact iOS 11 version? Also, are there any App Store updates pending? That info will help us troubleshoot the app‑loading issue.",True,Low intent confidence (0.444).,False,,,
1620586,So I️ think everyone accepted the stupid fucking question mark boxes @115858 except me this shit is annoying,keyboard_input,keyboard_input,0.1289,0.0306,0.7366,"Hi, I understand the question‑mark boxes are frustrating. The quickest fix is to back up your device and update to the latest iOS. Let me know your device model and iOS version so I can guide you through the backup and update steps.",True,Low intent confidence (0.129).,False,,,
1337287,So @115858 do I have to buy a new line from Apple store to buy iPhone x???  Just want my phone!  Can’t place an order!  Trying to pay $$$ https://t.co/S4nWhtXH5D,purchases_orders_refunds,purchases_orders_refunds,0.3077,0.0992,0.7156,"Hi! I’d love to help you get the iPhone X. Could you let me know which carrier you’re planning to use and the iOS version on your device? Once I have that, I can guide you through the purchase or connect you with our sales team.",True,Low intent confidence (0.308).,False,,,
1874494,I’m tired of @115858 having such easily crackable phones. This is the fourth time and it doesn’t matter if I have a case or not,hardware_accessories,connectivity,0.2649,0.0291,0.6881,"I’m sorry to hear your iPhone has cracked multiple times. Could you let me know the exact model and iOS version? That will help us see if there are any known issues or repair options. If you have AppleCare+ or a warranty, that could also be useful. Thanks for sharing.",True,Low intent confidence (0.265).,False,,,
2123864,"@AppleSupport HD camera in my new MacBookPro (2016) is not HD at all. No matter the light, there is always grain on the picture. Is it the hardware problem or is it normal that MBP camera sucks?",hardware_accessories,ios_update_issues,0.1904,0.0317,0.5396,"Hi! I’m sorry to hear about the grainy video. To help figure out whether it’s a software or hardware issue, could you let me know which macOS version you’re running and which app you’re using the camera in? Also, have you tried updating macOS or restarting the Mac? Once I have that info I can guide you further.",True,Low intent confidence (0.190).,False,,,
2616499,@739051 @AppleSupport I just bought my iphone 6 second hand. I thought it was a dodgy battery because it drained quick. It looks like I'm not the only one. Hmmmm!,apple_id_account,battery_power,0.4144,0.1727,0.7437,"Thanks for reaching out. To help figure out why your iPhone 6 is draining quickly, could you let us know how long it lasts on a full charge, what iOS version it’s running, and if you notice any particular apps or activities that drain the battery faster? You can also check the battery health in Settings > Battery > Battery Health to see the maximum capacity. Once we have that info, we can guide you further.",True,Low intent confidence (0.414).,False,,,
2633110,"@AppleSupport I am experiencing massive #Bluetooth issues with my #iPhoneX. Dropouts with Bluetooth headphones, even #AirPods, spotty connection to Apple Watch Series 3. Highly aggravating. 😔 Any hints what I could do?",connectivity,connectivity,0.3697,0.0537,0.6535,"Hi! I’m sorry you’re having trouble with Bluetooth on your iPhone X. To help us pinpoint the issue, could you let me know which iOS version you’re running? Also, have you tried any troubleshooting steps so far (e.g., restarting the phone, resetting network settings, or updating the firmware on your AirPods or Apple Watch)? Thanks for the details!",True,Low intent confidence (0.370).,False,,,
