customer_text,clean_customer_text,response_text,cluster
So the touchscreen on my iPhone has decided to work when it feels like it? Anyone else experience this? @AppleSupport #DontWantANewPhone,so the touchscreen on my iphone has decided to work when it feels like it anyone else experience this dontwantanewphone,@390611 We'll be happy to look into what's going on. What's happening?,2
iOS 11.0.3 is messed up - draining battery life like crazy @115858 @AppleSupport  do something,ios 11 0 3 is messed up - draining battery life like crazy do something,@565261 Your battery life is important to us. We'd love to look into this with you. DM us the type of device you are using. https://t.co/GDrqU22YpT,2
@115858 please fix the iPhone glitch that turns letters into a question mark   #iPhone8Plus  #frustrated #newphone #getittogether,please fix the iphone glitch that turns letters into a question mark iphone8plus frustrated newphone getittogether,@485666 We’re here for you. Try the steps here and let us know if you still need help: https://t.co/xU1AGHStV6,2
"Shoutout to @115858 for updating my phone and not letting me use Siri, access the app store, or play music!! Definitely switching to @125607",shoutout to for updating my phone and not letting me use siri access the app store or play music definitely switching to,@778552 We are here for you. Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT,2
@115858... you guys suck I’m going to Samsung. The fact I️ can’t use iMessage nor see any videos correctly is pitiful wtf.,you guys suck i'm going to samsung the fact i can't use imessage nor see any videos correctly is pitiful wtf,@455653 We want to help. Reach out via DM using the link below. https://t.co/GDrqU22YpT,2
@115858 the new iPhone update is draining my battery like crazzzzy! Always on low power made. Still doesn’t last more than a few hrs 😡😡😡,the new iphone update is draining my battery like crazzzzy always on low power made still doesn't last more than a few hrs,@321295 Let's see why your battery is having trouble. We want to make sure you can rely on it! What iPhone model do you have?,2
@AppleSupport @115858 y’all messed up my phone,y'all messed up my phone,@447357 Thanks for reaching out to us. Can you tell us what's going on with your iPhone?,2
"@115858 @AppleSupport @USCellularCares I was on FaceTime for about an hour, and now the home screen doesn't work",i was on facetime for about an hour and now the home screen doesn't work,@553652 We'd love to help with your Home screen! Please send us a DM with which version of iOS you're using. https://t.co/GDrqU22YpT,2
"@AppleSupport we need to do something about this battery, phone been off the charger for 10 minutes and it drops from 100 to 58%",we need to do something about this battery phone been off the charger for 10 minutes and it drops from 100 to 58,@605712 WE want to make sure your battery is functioning like you expect. Let us know via DM the device you have and we can help. https://t.co/GDrqU22YpT,2
"You have problems with iTunes for Windows development @115858 ?
My grandchildren gonna watch this shit loading for ages.
I can fix it for u tho :D https://t.co/UBLD9gMzyX",you have problems with itunes for windows development my grandchildren gonna watch this shit loading for ages i can fix it for u tho d,"@152252 Thank you for reaching out to us. It looks like you are trying to load the App Store in iTunes, but it's not loading. Is that what you need help with? Please send us a DM. https://t.co/GDrqU22YpT",2
