example_id,correctness,relevance,groundedness,completeness,tone,hallucination,escalation_appropriate,judge_status,judge_model,prompt_version,error
1,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
2,4,4,4,3,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
3,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
4,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
5,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
6,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
7,1,2,1,1,4,1,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
8,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
9,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
10,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
11,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
12,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
13,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
14,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
15,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
16,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
17,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
18,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
19,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
20,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
21,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
22,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
23,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
24,4,5,4,4,4,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
25,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
26,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
27,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
28,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
29,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
30,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
31,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
32,4,5,4,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
33,5,5,5,5,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
34,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
35,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
36,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
37,4,5,4,4,4,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
38,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
39,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
40,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
