customer_tweet_id,customer_text,human_escalate
1745981,".@AppleSupport why does my screen say this but, I’ve been charged. Yes all is up to date. Yes log in correct. One heck of a month w/@115858 https://t.co/TyEQDLvtcX",1
2116232,@AppleSupport my itunes gift card money mysteriously disappeared  from my itunes account?,1
2948214,@AppleSupport I’ve hard to hard restart my computer 6x in last two days since I updated to High Sierra. Adobe was first issue. Now finder is crashing and won’t relaunch. How about an update to fix all of the bugs in High Sierra please? I refuse to update my personal computer because of this.,1
1567544,@AppleSupport No I’m just so let down by @AppleSupport  And your ‘senior advisors’ all my iCloud has been deleted after 6 years and no one is helping,1
1202887,@AppleSupport As soon as I updated IOS my phone is slow and the camera doesn’t work.,1
1168589,"iOS 11.0.3 has killed WiFi, even more unstable and more restarts than the last update 🙄 sort it out @AppleSupport last few have been a joke",2
2577100,@AppleSupport When will you guys completely fix this question mark thing? https://t.co/FDW8WaQkcZ,2
1151854,@AppleSupport which drops the battery time even if the iphone is in standby. please check and fix,2
2296203,"@AppleSupport , setting up iPhone X as new mobile under existing Apple ID.  End result: Apple ID got locked out without at anytime mistyping password. Later forced to change password and naturally laptops, all devices need to have password changed as well. WHY?????",1
661610,@AppleSupport iOS 11 make my battery die! 😭😔 - IPhone 6s,2
712078,@115858 this damn IOS sucks. If I’m listening to a podcast and turn volume up it goes to music. And vise versa... TERRIBLE,2
2140986,Hi @AppleSupport. I️ have an issue when I️ type the letter I️. Just saw it on a friend’s message. Screenshot below. Can you help? https://t.co/LLZxw7CoPV,2
2558616,stop automatically putting my wifi &amp; bluetooth on @115858,2
2076419,"@614107 @115858 Literally! My phone keeps freezing and I have to keep hard resetting it, proper annoying",2
1522739,I took such a nice snap and then my phone froze. @115858 I hate your new iOS. Fix. It.,2
208261,@AppleSupport On my MBP with Yosemite I can’t update any app nor download new because verification always fail. How do I turn it off?,2
1020880,"@AppleSupport I pre-purchased a book in iBooks that should be available now, but iBooks only shows it as bought - can‘t download. Now what?",1
768168,My iPhone does nothing but freeze since doing the new update 😡😡😡😡 @115858 @AppleSupport,2
2283108,"@AppleSupport Hi, I just wanted to find out what ssd drives I can use on my MacBook Pro 2015 as my current one is water damaged",1
1933305,Hey @115858. Fix your iOS. Bluetooth is supposed to work.,2
2255501,"@AppleSupport It’s not a specific app. When out in the cold, typing just freezes up.",2
2060791,Aftr t new app update @4305 doesn't show notifications until I open the https://t.co/srWvNzKJrn @AppleSupport,2
862723,"@115858  plan on fixing all these bugs since the update? ANYTIME a new phone comes out, my perfectly fine old one starts messing up🙄",2
1620586,So I️ think everyone accepted the stupid fucking question mark boxes @115858 except me this shit is annoying,2
873948,"Hey @AppleSupport, the update to the podcast app seems to have added a click or two to the process of actually playing a podcast 👎",2
1010562,Does anyone have a workable way of getting photos from an iPhone6 to an iMac that actually works or have @115858 really turned to shit?,2
449438,@AppleSupport I can’t sync up with anything,1
2616499,@739051 @AppleSupport I just bought my iphone 6 second hand. I thought it was a dodgy battery because it drained quick. It looks like I'm not the only one. Hmmmm!,1
282529,@115858 @116333 I urgently resolve the problem with my iPhone. 📱 Contact ID: 100314535803,1
1204160,@AppleSupport my new iPhone 6s battery is useless. Fully charged last night and now in low power mode! Hardly used and no Apps Open!!,2
2647130,My iPhone is stating to heat up when it’s just sitting there. Thanks @115858 for the hot fire update to ruin my phone......again,1
403562,why did my entire camera roll just randomly completely clear then restore? and why is a vid from june is the most recent item? @AppleSupport https://t.co/aTvndqZau0,1
1805815,"@115858 what is the procedure for degrade ios from 11 to 10..??

As your ios 11 is pathetically stupid &amp; bugicious😂",2
2283391,@AppleSupport 3D touch in screen #ios11 isn’t work why?,2
366986,@115858 I was charged for a subscription that I canceled the same day I accepted the free trails why was I charged?,1
2619794,"Since the new update, my phones going so slow, stuttering and stalling 😩😩 @AppleSupport",2
956058,@115858 love it when my headphones break + fuck up my phone so i cant listen to a song without wnating to throw jt at a fucking wall,1
284411,On god my apps have never crashed this much in a short span of time...@115858 y’all need to fix iOS 11 smh,2
679934,"@AppleSupport So when the Apple Watch isn't able to control the music app on the phone, is it the watch, or the phone that is failing?",2
1684529,@115858 fix yalls damn keyboard,2
2448326,"@AppleSupport I just bought an Apple Watch Series 1 and it says I have to update it to the latest software. After many phone and Watch restarts, it keeps getting stuck on either the “Checking for Update...” or the actual update itself. What can I do?",1
810359,"@AppleSupport Love iOS 11 on iPad, it makes my iPad like Mac.But the battery issue need to be fixed.My iPad is Air 2,and iOS version is 11.0.2.",2
1270262,"@AppleSupport HELP!! using v11.03, deleted unused apps, I’ve deleted pics from phone but bloody phone keeps freezing &amp; turning itself off 😡",1
1925568,"iOS update seems to have killed my battery, any ideas why @AppleSupport #ios #apple #iPhone6",2
1337287,So @115858 do I have to buy a new line from Apple store to buy iPhone x???  Just want my phone!  Can’t place an order!  Trying to pay $$$ https://t.co/S4nWhtXH5D,1
336650,@AppleSupport TV4 x 2. 1 accepts @798.com address for iCloud and 1 switches to @1113.com address once I log in. @798 shows HOME and @1113 doesnt,1
1342772,"Yoooo @AppleSupport ever since the update my WiFi wants to work every now and then! Everything else in the house works, my phone doesn’t! https://t.co/FkzUM8byoF",2
1266534,@AppleSupport UPDATE OUR PHONES MINE KEEPS FREEZING WHAT IF IM DYING,1
2434654,"@AppleSupport Yep let me in but wouldn’t show iTunes music purchase, I found it a few weeks back but can’t remember where or how to check from iPhone",1
709071,Am I the only one whose phone is burning up now that I’ve updated my software to the latest version of iOS? @AppleSupport,1
