eval_id,customer_tweet_id,customer_text,reply,should_escalate,retrieved_evidence
1,1745981,".@AppleSupport why does my screen say this but, I’ve been charged. Yes all is up to date. Yes log in correct. One heck of a month w/@115858 https://t.co/TyEQDLvtcX","Could you share what the screen message says, along with your device model and iOS version? That’ll help us pinpoint the issue and guide you further.",True,"HISTORICAL CASE 1

Customer:
@AppleSupport this shit happen as soon as my warranty is over !!! smh

AppleSupport response:
@235553 We'd like to help you be sure your iPhone is working normally. Send us a DM with more details on what is happening exactly. https://t.co/GDrqU22YpT

Similarity:
0.6296

HISTORICAL CASE 2

Customer:
What is going on @AppleSupport @115858 https://t.co/c3rIj7wqkJ

AppleSupport response:
@523916 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9

Similarity:
0.6282

HISTORICAL CASE 3

Customer:
@AppleSupport Charged all the way to 100% last night. Somehow already at 68%. No apps opened.

AppleSupport response:
@311972 Let's take things to DM from here so we can dig a bit deeper into this. https://t.co/GDrqU22YpT

Similarity:
0.6176"
2,2116232,@AppleSupport my itunes gift card money mysteriously disappeared  from my itunes account?,"Hi! First, please check your iTunes balance to confirm the amount is missing. If the balance still shows as zero, we recommend contacting the iTunes Store team for further assistance. If you need help locating the balance or have any other details you can share, let us know!",True,"HISTORICAL CASE 1

Customer:
@AppleSupport can you check apple gift card with out adding it to your account.

AppleSupport response:
@211923 Hi there! You can do this by click on the 'Check balance' link in this article: https://t.co/YSjrgVAquU

Similarity:
0.6858

HISTORICAL CASE 2

Customer:
@AppleSupport hi, got given an iTunes gift card but the code has peeled off with the label. #HelpPlease

AppleSupport response:
@484000 Hey there! We'd love to help and recommend reaching out to our iTunes Store team directly: https://t.co/SDIe7UiyJN

Similarity:
0.6847

HISTORICAL CASE 3

Customer:
@AppleSupport hi, i've been having some charges on my card from itunes and have no knowledge of it, who can i contact for this

AppleSupport response:
@327796 For best assistance with unrecognized charges please reach out to our iTunes Advisors here: https://t.co/SDIe7UiyJN

Similarity:
0.6696"
3,2948214,@AppleSupport I’ve hard to hard restart my computer 6x in last two days since I updated to High Sierra. Adobe was first issue. Now finder is crashing and won’t relaunch. How about an update to fix all of the bugs in High Sierra please? I refuse to update my personal computer because of this.,"I’m sorry to hear about the crashes. Could you share your Mac model and the exact steps you took before the crashes started? Also, what happens when Finder crashes—does it just quit or does the whole system freeze? Knowing this will help us pinpoint the issue and find a fix.",True,"HISTORICAL CASE 1

Customer:
@AppleSupport high Sierra has broken more or less EVERYTHING on my Mac, it is unusable, constant crashes, broken applications

AppleSupport response:
@679996 We want you to be able to enjoy macOS High Sierra. To see what's going on, please let us know in DM any steps you’ve taken. https://t.co/GDrqU22YpT

Similarity:
0.6674

HISTORICAL CASE 2

Customer:
.@115858 @AppleSupport updated high sierra update and MacBook crashed. It crashed 2nd time since High Sierra has come.

AppleSupport response:
@483615 We want to make sure you Mac runs smoothly. How long ago did you update? What does it do when it crashes?

Similarity:
0.6064

HISTORICAL CASE 3

Customer:
If you value a stable MacBook, don't upgrade to macOs High Sierra. It crashes on every sleep. _every sleep_ @AppleSupport

AppleSupport response:
@284980 It's important for your MacBook to work properly. Let's work together. Provide us more details on how it crashes.

Similarity:
0.6034"
4,1567544,@AppleSupport No I’m just so let down by @AppleSupport  And your ‘senior advisors’ all my iCloud has been deleted after 6 years and no one is helping,"I’m sorry you’re experiencing this loss. To help us investigate, could you let us know your iPhone model, the iOS version you’re running, and when you noticed the data missing? Also, please check the iCloud website to see if the contacts or photos are still there. If you have any recent backups—either via iCloud or iTunes—please share those details. Once we have this information, we can look into recovery options for you.",True,"HISTORICAL CASE 1

Customer:
@115858 @applesupport Your iCloud recovery has been broken for me for months, your support staff stonewalled me after taking my private data and did nothing.  All of this started because your iOS 11 upgrade nuked my data.

AppleSupport response:
@233551 We’d like to understand more about this. Please DM us some details and we’ll take it from there. https://t.co/GDrqU22YpT

Similarity:
0.6401

HISTORICAL CASE 2

Customer:
@AppleSupport last iPhone update has deleted some of my co facts. iCloud restore did not help. :-(

AppleSupport response:
@641894 Let's take a look at this together. Have you removed any accounts from your iPhone recently? If you log into the iCloud website, do you see your contacts there? Let us know in DM and we'll get started. https://t.co/GDrqU22YpT

Similarity:
0.6386

HISTORICAL CASE 3

Customer:
@AppleSupport I haven't backed up my phone to iCloud because I never thought I would need to. I'd rather not loose everything 😐 Please do everyone a favor &amp; let everyone know that Apple devices do this now because people's phones get disabled more often then you think 😐

AppleSupport response:
@656937 Have you ever done a backup through iTunes?

Similarity:
0.6261"
5,1202887,@AppleSupport As soon as I updated IOS my phone is slow and the camera doesn’t work.,Thanks for reaching out. Could you let us know which iPhone model you have and the iOS version you updated to? We’ll look into the slowdown and camera issue.,True,"HISTORICAL CASE 1

Customer:
@AppleSupport iOS 11 is so slow on my iPhone 5S. For example the camera app takes 5-10 seconds before it can take a photo. What gives?🤦‍♂️

AppleSupport response:
@123186 We'd love to look into this. Could you Direct Message us and let us know what iOS version you're on? https://t.co/GDrqU22YpT

Similarity:
0.8190

HISTORICAL CASE 2

Customer:
@115858 @AppleSupport my iPhone 5s has many problems, the camera stopped working, and with each software update is slow, should give me a new one

AppleSupport response:
@265800 let us help you get your device working as expected. Join us in DM so we may better assist you: https://t.co/GDrqU22YpT

Similarity:
0.8139

HISTORICAL CASE 3

Customer:
@AppleSupport hi ever since I updated my phone to ios11 my rear camera hasn't worked properly please help

AppleSupport response:
@170418 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT

Similarity:
0.7778"
6,1168589,"iOS 11.0.3 has killed WiFi, even more unstable and more restarts than the last update 🙄 sort it out @AppleSupport last few have been a joke","Hi, sorry to hear about the WiFi instability after updating to iOS 11.0.3. To help us investigate, could you let us know which device you’re using, the exact iOS version, and any steps you’ve already tried to fix the WiFi? Once we have that info, we can look into a solution.",False,"HISTORICAL CASE 1

Customer:
ios 11.0.3 is the worst update ever!!! My phone is draining 🔋and everything is crashing and unstable! NOT COOL! 🆘 @118936 @AppleSupport

AppleSupport response:
@580600 We'll be happy to look into this for you. Meet us in DM with additional details to get started: https://t.co/GDrqU22YpT

Similarity:
0.7722

HISTORICAL CASE 2

Customer:
@AppleSupport since I updated to iOS 11.0.2 I have no WiFi. When will this problem be fixed?

AppleSupport response:
@202204 We'd like to look into this with you. To get started, let us know which device you have.

Similarity:
0.7656

HISTORICAL CASE 3

Customer:
Ever since IOS11 been on my phone ...it’s been acting up and having WiFi issues I keep rebooting it and connecting to WiFi @AppleSupport FIX

AppleSupport response:
@562763 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can troubleshoot together. https://t.co/GDrqU22YpT

Similarity:
0.7607"
7,2577100,@AppleSupport When will you guys completely fix this question mark thing? https://t.co/FDW8WaQkcZ,We’ve shared a workaround that can help you use the app until the issue is fixed in a future update. Give it a try and let us know if it resolves the problem for you.,True,"HISTORICAL CASE 1

Customer:
@AppleSupport. y’all gone fix these question marks or what?

AppleSupport response:
@495777 We've seen the issue you're talking about and we have a workaround for it: https://t.co/xXaXeeSRt9 Did that help?

Similarity:
0.8395

HISTORICAL CASE 2

Customer:
@AppleSupport What’s up with the question marks?

AppleSupport response:
@497746 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help.

Similarity:
0.8155

HISTORICAL CASE 3

Customer:
@AppleSupport pls fix the question mark box thingy

AppleSupport response:
@374679 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9

Similarity:
0.8109"
8,1151854,@AppleSupport which drops the battery time even if the iphone is in standby. please check and fix,"Hi, sorry to hear about the battery drain. Could you let us know your iPhone model, iOS version, and the current battery health percentage? Also, have you noticed any apps running in the background or any recent changes? That info will help us investigate further.",True,"HISTORICAL CASE 1

Customer:
@AppleSupport why my iPhone battery dying so fast ????

AppleSupport response:
@354690 It's important to have a reliable device; Learn to maximize yours here: https://t.co/TpjqFp3jxD https://t.co/GDrqU22YpT

Similarity:
0.7223

HISTORICAL CASE 2

Customer:
@AppleSupport Hi @AppleSupport, I changed the battery of my iPhone and seems that it solved the problem. Thanks for your kind help. Cheers.

AppleSupport response:
@267188 We are glad that you are all set.  Reach out again if you need further assistance.

Similarity:
0.7152

HISTORICAL CASE 3

Customer:
My iPhone runs out of battery so fast it’s ridiculous 😡 @AppleSupport you better fix this

AppleSupport response:
@271779 Let's examine this battery issue. How long does a full charge usually last? Let us know in DM. https://t.co/GDrqU22YpT

Similarity:
0.7099"
9,2296203,"@AppleSupport , setting up iPhone X as new mobile under existing Apple ID.  End result: Apple ID got locked out without at anytime mistyping password. Later forced to change password and naturally laptops, all devices need to have password changed as well. WHY?????","Hi! It sounds like your Apple ID was locked during the iPhone X setup. That can happen if Apple detects unusual activity. To help you unlock it, could you let us know the exact error message you see when you try to sign in? Also, do you have two‑factor authentication enabled on the account? Once we have that info we can guide you through the next steps.",True,"HISTORICAL CASE 1

Customer:
@115858 I've been completely locked out of my Apple/iCloud ID for almost a month! FaceCime, iCloud, iTunes, email, everything (Case 100339492735). I have an iPhone X 256GB arriving today that I won't be able to setup. Questioning why. My @122986 ID is fine BTW. #timeforandroid?

AppleSupport response:
@230299 Congratulations on your iPhone X; how exciting! Meet up with us in Direct Message by clicking the link below. We'd like to research this more with you today. https://t.co/GDrqU22YpT

Similarity:
0.6479

HISTORICAL CASE 2

Customer:
@AppleSupport my phone will not unlock with my touch ID while on and charging. Why is that? Is this a bug in the update? I have the most recent update

AppleSupport response:
@784644 Let's work together to figure out what's happening. What happens specifically when you try to unlock your iPhone using Touch ID? Are you receiving an error? Also, when you say most recent update, are you referring to iOS 11.1.1? Please DM us with the answers. https://t.co/GDrqU22YpT

Similarity:
0.6066

HISTORICAL CASE 3

Customer:
@AppleSupport My Apple ID it says it was locked for security reasons but it won’t let me unlock it :( @AppleSupport I’m dying here !! Help !!

AppleSupport response:
@666593 We're very glad you contacted us for assistance. We would recommend taking a look at this article to help you out: https://t.co/HH37urdbz9

Similarity:
0.5898"
10,661610,@AppleSupport iOS 11 make my battery die! 😭😔 - IPhone 6s,"Hi, sorry to hear your battery is draining quickly after the iOS 11 update. Could you let us know which country you’re in and whether you’ve checked the battery‑health settings on your iPhone 6s? We’ll guide you through the next steps to help improve battery life.",True,"HISTORICAL CASE 1

Customer:
@AppleSupport iOS11.0.3 killing the battery on out iphone 6 and 7  🤬 #badapple

AppleSupport response:
@404808 We want to help. First, have you tried the steps here? https://t.co/bivpdfBNJ6

Similarity:
0.8260

HISTORICAL CASE 2

Customer:
@AppleSupport my iPhone 6 used to work perfectly before iOS 11 update. And now the battery dies like never before. #Problem

AppleSupport response:
@609086 We can help with the battery life. Could you Direct Message us and let us know what country you're located in? https://t.co/GDrqU22YpT

Similarity:
0.8250

HISTORICAL CASE 3

Customer:
@AppleSupport can you fix iOS 11 when I do stuff on it my battery just dies every 10 minutes

AppleSupport response:
@165305 We know how important battery life is. Check out: https://t.co/bivpdfBNJ6 and keep us posted.

Similarity:
0.8101"
