eval_id,customer_tweet_id,customer_text,reply,should_escalate,correctness_human,relevance_human,groundedness_human,completeness_human,tone_human,hallucination_human,escalation_appropriate_human,example_id,correctness_llm,relevance_llm,groundedness_llm,completeness_llm,tone_llm,hallucination_llm,escalation_appropriate_llm,judge_status,judge_model,prompt_version,error
1,1745981,".@AppleSupport why does my screen say this but, I’ve been charged. Yes all is up to date. Yes log in correct. One heck of a month w/@115858 https://t.co/TyEQDLvtcX","Could you share what the screen message says, along with your device model and iOS version? That’ll help us pinpoint the issue and guide you further.",True,3,4,5,2,5,0,1,1,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
2,2116232,@AppleSupport my itunes gift card money mysteriously disappeared  from my itunes account?,"Hi! First, please check your iTunes balance to confirm the amount is missing. If the balance still shows as zero, we recommend contacting the iTunes Store team for further assistance. If you need help locating the balance or have any other details you can share, let us know!",True,4,5,4,3,5,0,1,2,4,4,4,3,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
3,2948214,@AppleSupport I’ve hard to hard restart my computer 6x in last two days since I updated to High Sierra. Adobe was first issue. Now finder is crashing and won’t relaunch. How about an update to fix all of the bugs in High Sierra please? I refuse to update my personal computer because of this.,"I’m sorry to hear about the crashes. Could you share your Mac model and the exact steps you took before the crashes started? Also, what happens when Finder crashes—does it just quit or does the whole system freeze? Knowing this will help us pinpoint the issue and find a fix.",True,4,5,5,3,5,0,1,3,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
4,1567544,@AppleSupport No I’m just so let down by @AppleSupport  And your ‘senior advisors’ all my iCloud has been deleted after 6 years and no one is helping,"I’m sorry you’re experiencing this loss. To help us investigate, could you let us know your iPhone model, the iOS version you’re running, and when you noticed the data missing? Also, please check the iCloud website to see if the contacts or photos are still there. If you have any recent backups—either via iCloud or iTunes—please share those details. Once we have this information, we can look into recovery options for you.",True,4,5,4,4,5,0,1,4,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
5,1202887,@AppleSupport As soon as I updated IOS my phone is slow and the camera doesn’t work.,Thanks for reaching out. Could you let us know which iPhone model you have and the iOS version you updated to? We’ll look into the slowdown and camera issue.,True,4,5,5,3,5,0,0,5,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
6,1168589,"iOS 11.0.3 has killed WiFi, even more unstable and more restarts than the last update 🙄 sort it out @AppleSupport last few have been a joke","Hi, sorry to hear about the WiFi instability after updating to iOS 11.0.3. To help us investigate, could you let us know which device you’re using, the exact iOS version, and any steps you’ve already tried to fix the WiFi? Once we have that info, we can look into a solution.",False,4,5,5,4,5,0,0,6,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
7,2577100,@AppleSupport When will you guys completely fix this question mark thing? https://t.co/FDW8WaQkcZ,We’ve shared a workaround that can help you use the app until the issue is fixed in a future update. Give it a try and let us know if it resolves the problem for you.,True,4,5,4,3,5,0,0,7,1,2,1,1,4,1,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
8,1151854,@AppleSupport which drops the battery time even if the iphone is in standby. please check and fix,"Hi, sorry to hear about the battery drain. Could you let us know your iPhone model, iOS version, and the current battery health percentage? Also, have you noticed any apps running in the background or any recent changes? That info will help us investigate further.",True,4,5,5,4,5,0,0,8,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
9,2296203,"@AppleSupport , setting up iPhone X as new mobile under existing Apple ID.  End result: Apple ID got locked out without at anytime mistyping password. Later forced to change password and naturally laptops, all devices need to have password changed as well. WHY?????","Hi! It sounds like your Apple ID was locked during the iPhone X setup. That can happen if Apple detects unusual activity. To help you unlock it, could you let us know the exact error message you see when you try to sign in? Also, do you have two‑factor authentication enabled on the account? Once we have that info we can guide you through the next steps.",True,4,5,3,4,5,1,1,9,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
10,661610,@AppleSupport iOS 11 make my battery die! 😭😔 - IPhone 6s,"Hi, sorry to hear your battery is draining quickly after the iOS 11 update. Could you let us know which country you’re in and whether you’ve checked the battery‑health settings on your iPhone 6s? We’ll guide you through the next steps to help improve battery life.",True,4,5,5,4,5,0,0,10,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
11,712078,@115858 this damn IOS sucks. If I’m listening to a podcast and turn volume up it goes to music. And vise versa... TERRIBLE,"Hi @115858, sorry to hear about the volume issue. Could you let us know which device you’re using and the iOS version? That will help us look into the problem. Thanks!",True,4,5,5,3,5,0,0,11,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
12,2140986,Hi @AppleSupport. I️ have an issue when I️ type the letter I️. Just saw it on a friend’s message. Screenshot below. Can you help? https://t.co/LLZxw7CoPV,Hi! It sounds like a keyboard autocorrect glitch. The latest iOS update includes a fix for this. Could you let us know your device model and the iOS version you’re running? That’ll help us confirm the best next step.,False,3,5,3,3,5,1,0,12,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
13,2558616,stop automatically putting my wifi &amp; bluetooth on @115858,"Hi! I’m sorry you’re having trouble with Wi‑Fi and Bluetooth turning on automatically. Could you let me know which iPhone model you’re using, what iOS version it’s running, and whether you’ve already turned Wi‑Fi and Bluetooth off in Settings? That info will help us figure out why they’re re‑activating. Thanks!",True,5,5,5,4,5,0,0,13,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
14,2076419,"@614107 @115858 Literally! My phone keeps freezing and I have to keep hard resetting it, proper annoying",We’re sorry to hear your phone keeps freezing. Could you let us know which iPhone model you have and the iOS version you’re running? That will help us find the best solution for you.,True,4,5,5,3,5,0,0,14,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
15,1522739,I took such a nice snap and then my phone froze. @115858 I hate your new iOS. Fix. It.,"Hi, sorry to hear your phone froze after taking a photo. To help us look into this, could you share your device model, iOS version, and your country?",True,4,5,5,3,5,0,0,15,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
16,208261,@AppleSupport On my MBP with Yosemite I can’t update any app nor download new because verification always fail. How do I turn it off?,"Could you share your Mac model, the exact OS version, your App Store account details, and any error messages you see? Let’s discuss this in a DM so we can dig deeper.",True,4,5,4,4,5,0,0,16,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
17,1020880,"@AppleSupport I pre-purchased a book in iBooks that should be available now, but iBooks only shows it as bought - can‘t download. Now what?","Hi @AppleSupport, sorry to hear that. First, check if the book appears in your Purchased section in Books. If it does, make sure you’re signed in with the same Apple ID on the device. Also let me know your iOS version and device model so we can look further.",True,5,5,5,4,5,0,1,17,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
18,768168,My iPhone does nothing but freeze since doing the new update 😡😡😡😡 @115858 @AppleSupport,Hi! I’m sorry to hear your iPhone is freezing after the update. Could you let me know which iPhone model you have and the exact iOS version you’re running? That will help us find the best solution for you.,True,4,5,5,3,5,0,0,18,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
19,2283108,"@AppleSupport Hi, I just wanted to find out what ssd drives I can use on my MacBook Pro 2015 as my current one is water damaged","Thanks for reaching out. To recommend compatible SSDs for your 2015 MacBook Pro, we need to know the exact model (e.g., 13‑inch 2015, 15‑inch 2015, or 2015 with Retina). Could you share the model identifier or serial number? Once we have that, we can suggest compatible SSD options.",True,4,5,5,4,5,0,0,19,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
20,1933305,Hey @115858. Fix your iOS. Bluetooth is supposed to work.,"Hey @115858, sorry to hear Bluetooth isn’t working. Which device are you pairing with? Also, what iOS version is on your phone? Have you restarted the device since the issue started?",True,4,5,5,4,5,0,0,20,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
21,2255501,"@AppleSupport It’s not a specific app. When out in the cold, typing just freezes up.","It sounds like the keyboard is freezing when the device gets cold. To help troubleshoot, could you let us know which iOS version you’re running and the model of your iPhone?",True,4,5,5,3,5,0,0,21,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
22,2060791,Aftr t new app update @4305 doesn't show notifications until I open the https://t.co/srWvNzKJrn @AppleSupport,"Hi @AppleSupport, sorry you’re having trouble with notifications after the app update. Could you let us know which iPhone/iPad model you’re using and the iOS version? Also, please check Settings → Notifications to confirm that notifications are enabled for that app. Once we have that info we can guide you further.",True,5,5,5,4,5,0,0,22,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
23,862723,"@115858  plan on fixing all these bugs since the update? ANYTIME a new phone comes out, my perfectly fine old one starts messing up🙄","Thanks for reaching out. To help us address the bugs after the latest update, could you share your device model, iOS version, and a brief description of the problems you’re experiencing?",True,4,5,5,3,5,0,0,23,5,5,5,4,5,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
24,1620586,So I️ think everyone accepted the stupid fucking question mark boxes @115858 except me this shit is annoying,"Hi, I understand the question‑mark boxes are frustrating. The quickest fix is to back up your device and update to the latest iOS. Let me know your device model and iOS version so I can guide you through the backup and update steps.",True,4,5,4,3,5,0,0,24,4,5,4,4,4,0,0,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
25,873948,"Hey @AppleSupport, the update to the podcast app seems to have added a click or two to the process of actually playing a podcast 👎","Thanks for reaching out! To help us pinpoint the issue, could you let us know which iPhone or iPad model you’re using and the iOS version? Also, what steps do you take from opening the app to actually starting playback? If you’ve tried restarting or reinstalling the app, that would be helpful to know as well.",True,5,5,5,4,5,0,0,25,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
26,1010562,Does anyone have a workable way of getting photos from an iPhone6 to an iMac that actually works or have @115858 really turned to shit?,"Hi! To help you get photos from your iPhone 6 to your iMac, could you let us know the iOS version you’re running? Also, are you currently using iCloud Photos or another method? Once we have that info we can guide you through the best way to sync or transfer your photos.",True,4,5,5,3,5,0,0,26,5,5,5,4,5,0,1,success,qwen/qwen3.8-27b,groq_judge_v4_escalation_rubric,
